Site,Category,Google hits,FB likes,Twitter,political alignment
The American Conservative,clickbait  ,"69,900,000.00","52,069","21,200",right
The American Mirror,clickbait  ,"191,000.00","117,976","4,585",right
The American Prospect,clickbait  ,"384,000.00","108,450","26,400",left
The Angry Patriot,clickbait  ,"379,000.00","1,096,662",0,right
The Anti-Media,conspiracy  ,"222,000.00","1,948,859","39,200",Unknow
The Blacksphere,clickbait  ,"193,000.00","523,125",0,right
The Blaze,clickbait  ,"3,120,000.00","1,958,324","581,000",right
The Blue Route,clickbait  ,"546,000.00","21,086","1,002",left
The Boston Tribune,clickbait  ,"16,000,000.00",0,204,right
The Common Sense Show,conspiracy  ,"171,000.00","5,604","2,171",Unknow
The Constitution,clickbait  ,"182,000,000.00","948,593","2,193",right
The Controversial Files,conspiracy  ,"4,380,000.00","310,792",0,Unknow
The D.C. Clothesline,conspiracy  ,"80,400.00","108,345","13,900",Unknow
The Daily Banter,clickbait  ,"81,700.00","25,139","5,417",left
The Daily Sheeple,conspiracy  ,"250,000.00","56,079","8,319",Unknow
The Daily Wire,clickbait  ,"25,200.00","1,388,359","21,800",right
The European Union Times,conspiracy  ,"129,000,000.00",348,988,Unknow
The Event Chronicle,conspiracy  ,"117,000.00","60,352","2,983",Unknow
The Federalist,clickbait  ,"4,040,000.00","45,518","49,200",right
The Federalist Papers Project,clickbait  ,"522,000.00","2,237,993","7,133",right
The Federation for American Immigration Reform,clickbait  ,"1,150,000.00","1,127,555","72,700",right
The Forbidden Knowledge,conspiracy  ,"993,000.00",0,0,Unknow
The Gateway Pundit,clickbait  ,"670,000.00","585,736","60,700",right
The Last Great Stand,conspiracy  ,"237,000,000.00","119,303","72,600",Unknow
The Liberty Beacon,conspiracy  ,"50,300.00","22,578",222,Unknow
The Mind Unleashed,conspiracy  ,"977,000.00","7,843,017","13,000",Unknow
The Morning Star,clickbait  ,"5,250,000.00","10,988","32,000",left
The New Civil Rights Movement,clickbait  ,"31,000,000.00","369,974","7,135",left
The Onion ,satire ,"3,300,000.00","6,134,195","9,210,000",centrist
The Other 98% ,clickbait  ,"3,900.00","3,583,520","13,900",left
The Patriot Post,clickbait  ,"198,000.00","518,534","5,895",right
The Post and Mail,clickbait  ,"266,000.00","4,949",719,right
The Progressive,clickbait  ,"19,100,000.00","38,410","29,400",left
The Real Strategy,clickbait  ,"92,800.00","8,700","2,798",right
The Rebel,clickbait  ,"16,100,000.00","56,902","44,200",right
The Right Scoop,clickbait  ,"209,000.00","98,533","14,300",right
The Root,clickbait  ,"66,700,000.00","889,604","288,000",left
The Rundown Live,conspiracy  ,"44,700.00","19,226","2,519",Unknow
The Stately Harold,satire ,"2,890.00","1,890",0,none
The Truth About Cancer,junk science,"513,000.00","775,430","4,092",right
The Truth Seeker,conspiracy  ,"609,000.00","34,611","81,900",Unknow
The US Patriot,clickbait  ,"147,000.00",0,0,right
The Walrus,clickbait  ,"2,840,000.00",0,"69,200",left
TheGrio,clickbait  ,"733,000.00","970,095","73,100",left
TheLapine.ca,satire ,"23,300.00","5,275",983,left
TheNewEuropean,,"488,000.00","7,520","16,400",centre/left??
TheNewsNerd,fake news,"12,800.00","5,615",209,unknown
TheSpoof,satire ,"487,000.00",358,754,none
TheUsPatriot.com,conspiracy  ,"25,900.00",0,0,right 
Think Progress,clickbait  ,"1,870,000.00","1,759,622","647,000",left
Thrive Movement,conspiracy  ,"301,000.00","303,588","25,800",Unknow
TMZ WorldNews,satire ,"96,900.00","344,543","33,829",Unknow
Topinfo Post,conspiracy  ,"60,100.00","38,663","5,013",Unknow
Townhall,clickbait  ,"18,600,000.00","1,274,178","91,200",right
Tribune UK,clickbait  ,"16,300,000.00","1,985","4,757",left
True Activist,clickbait  ,"625,000.00","1,361,960","23,200",left
True Pundit,conspiracy  ,"75,300.00","1,379","24,400",Unknow
Truth and Action,conspiracy  ,"520,000.00","790,511",46,Unknow
Truth Broadcasting Network,conspiracy  ,"1,970,000.00",0,0,Unknow
Truth In Media,clickbait  ,"296,000.00","342,292","62,300",right
Truth Out,clickbait  ,"748,000.00","748,166","146,000",left
Truth Revolt,clickbait  ,"297,000.00","37,068","9,667",right
Truthdig,clickbait  ,"569,000.00","226,911","64,900",left
TruthFeed,clickbait  ,"302,000.00","358,975","10,600",right
TruthFrequencyRadio,conspiracy  ,"88,000.00","8,048",516,unknown
Twitchy,clickbait  ,"4,560,000.00","1,277,992","215,000",right
U.S. Chronicle,clickbait  ,"134,000.00",357,2,right
U.S. Herald,clickbait  ,"67,700.00",0,"2,516",right
Uncle Sam’s Misguided Children,conspiracy  ,"103,000.00","23,838","15,600",Unknow
UnconfirmedSources,satire ,"689,000.00",0,90,unknown
Underground Health,junk science,"165,000.00","348,276",0,right
UpliftConnect,junk science,"366,000.00","633,386","2,267",left
